timestamp,value
2023-09-01T04:37:36Z,89.3
2023-09-01T04:38:37Z,89.5
2023-09-01T04:39:37Z,90.0
2023-09-01T04:40:37Z,90.3
2023-09-01T04:41:37Z,90.6
2023-09-01T04:42:37Z,91.1
2023-09-01T04:43:37Z,91.5
2023-09-01T04:44:38Z,92.1
2023-09-01T04:45:38Z,92.3
2023-09-01T04:46:38Z,92.3
2023-09-01T04:47:38Z,92.1
2023-09-01T04:48:38Z,92.4
2023-09-01T04:49:38Z,92.0
2023-09-01T04:50:39Z,92.4
2023-09-01T04:51:39Z,92.6
2023-09-01T04:52:39Z,92.6
2023-09-01T04:53:39Z,92.8
2023-09-01T04:54:39Z,50.0
2023-09-01T04:55:39Z,92.7
2023-09-01T04:56:40Z,97.0
2023-09-01T04:57:40Z,98.9
2023-09-01T04:58:40Z,99.8
2023-09-01T04:59:40Z,100.0
2023-09-01T05:00:40Z,50.0
2023-09-01T05:01:40Z,99.4
2023-09-01T05:02:41Z,98.7
2023-09-01T05:03:41Z,97.9
2023-09-01T05:04:41Z,97.2
2023-09-01T05:05:41Z,96.3
2023-09-01T05:06:41Z,95.5
2023-09-01T05:07:41Z,95.3
2023-09-01T05:08:42Z,95.8
2023-09-01T05:09:42Z,50.0
2023-09-01T05:10:42Z,50.0
2023-09-01T05:11:42Z,95.7
2023-09-01T05:12:42Z,95.3
2023-09-01T05:13:42Z,94.9
2023-09-01T05:14:43Z,50.0
2023-09-01T05:15:43Z,94.6
2023-09-01T05:16:43Z,94.2
2023-09-01T05:17:43Z,94.1
2023-09-01T05:18:43Z,94.1
2023-09-01T05:19:44Z,94.2
2023-09-01T05:20:44Z,94.2
2023-09-01T05:21:44Z,94.2
2023-09-01T05:22:44Z,94.2
2023-09-01T05:23:44Z,94.1
2023-09-01T05:24:44Z,94.3
2023-09-01T05:25:44Z,94.5
2023-09-01T05:26:45Z,50.0
2023-09-01T05:27:45Z,94.3
2023-09-01T05:28:45Z,94.1
2023-09-01T05:29:45Z,93.8
2023-09-01T05:30:45Z,93.7
2023-09-01T05:31:45Z,93.3
2023-09-01T05:32:46Z,93.4
2023-09-01T05:33:46Z,93.4
2023-09-01T05:34:46Z,93.5
2023-09-01T05:35:46Z,93.6
2023-09-01T05:36:46Z,93.7
2023-09-01T05:37:46Z,93.6
2023-09-01T05:38:47Z,50.0
2023-09-01T05:39:47Z,93.5
2023-09-01T05:40:47Z,93.3
2023-09-01T05:41:47Z,93.1
2023-09-01T05:42:47Z,93.0
2023-09-01T05:43:47Z,92.9
2023-09-01T05:44:47Z,92.9
2023-09-01T05:45:48Z,92.9
2023-09-01T05:46:48Z,92.9
2023-09-01T05:47:48Z,93.2
2023-09-01T05:48:48Z,93.5
2023-09-01T05:49:49Z,93.6
2023-09-01T05:50:49Z,93.6
2023-09-01T05:51:49Z,93.7
2023-09-01T05:52:49Z,94.0
2023-09-01T05:53:49Z,94.0
2023-09-01T05:54:49Z,93.9
2023-09-01T05:55:49Z,93.9
2023-09-01T05:56:50Z,93.9
2023-09-01T05:57:50Z,93.9
2023-09-01T05:58:50Z,50.0
2023-09-01T05:59:50Z,50.0
2023-09-01T06:00:50Z,94.3
2023-09-01T06:01:50Z,94.5
2023-09-01T06:02:51Z,94.7
2023-09-01T06:03:51Z,95.0
2023-09-01T06:04:51Z,95.2
2023-09-01T06:05:51Z,95.2
2023-09-01T06:06:51Z,95.4
2023-09-01T06:07:51Z,95.3
2023-09-01T06:08:52Z,95.6
2023-09-01T06:09:52Z,95.8
2023-09-01T06:10:52Z,95.9
2023-09-01T06:11:52Z,96.0
2023-09-01T06:12:52Z,96.0
2023-09-01T06:13:52Z,96.2
2023-09-01T06:14:53Z,96.1
2023-09-01T06:15:53Z,96.3
2023-09-01T06:16:53Z,96.2
2023-09-01T06:17:53Z,96.3
2023-09-01T06:18:53Z,96.2
2023-09-01T06:19:53Z,96.3
2023-09-01T06:20:54Z,96.3
2023-09-01T06:21:54Z,50.0
2023-09-01T06:22:54Z,96.3
2023-09-01T06:23:54Z,94.7
2023-09-01T06:24:54Z,50.0
2023-09-01T06:25:54Z,50.0
2023-09-01T06:26:54Z,93.1
2023-09-01T06:27:55Z,92.5
2023-09-01T06:28:55Z,92.2
2023-09-01T06:29:55Z,91.9
2023-09-01T06:30:55Z,91.7
2023-09-01T06:31:55Z,91.7
2023-09-01T06:32:55Z,91.7
2023-09-01T06:33:56Z,93.4
2023-09-01T06:34:56Z,94.4
2023-09-01T06:35:56Z,94.9
2023-09-01T06:36:56Z,95.7
2023-09-01T06:37:56Z,50.0
2023-09-01T06:38:57Z,95.9
2023-09-01T06:39:57Z,96.1
2023-09-01T06:40:57Z,96.0
2023-09-01T06:41:57Z,96.5
2023-09-01T06:42:57Z,96.7
2023-09-01T06:43:57Z,96.8
2023-09-01T06:44:57Z,97.0
2023-09-01T06:45:58Z,97.2
2023-09-01T06:46:58Z,97.4
2023-09-01T06:47:58Z,97.4
